airline_name,overall_rating,seat_comfort,service_quality,food_quality,onboard_entertainment,quality_price_ratio
adria-airways,6.885714285714286,4.0,4.176470588235294,3.2941176470588234,1.3529411764705883,3.3548387096774195
aegean-airlines,7.823788546255507,3.736040609137056,4.071065989847716,3.566326530612245,1.8918918918918919,3.726890756302521
aer-lingus,7.289817232375979,3.4909638554216866,3.7349397590361444,2.9603658536585367,2.0676923076923077,3.5985576923076925
aerocaribbean,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.0
aeroflot-russian-airlines,6.737288135593221,3.5270935960591134,3.5369458128078817,3.4679802955665027,3.014851485148515,3.865546218487395
aerogal-aerolineas-galapagos,7.090909090909091,4.5,3.5,4.0,2.0,3.3076923076923075
aerolineas-argentinas,5.123287671232877,2.9411764705882355,2.7815126050420167,2.5546218487394956,1.638655462184874,2.755813953488372
aeromexico,6.232142857142857,3.260869565217391,3.1956521739130435,3.131868131868132,2.4615384615384617,2.9705882352941178
aerosur,4.5,2.0,3.3333333333333335,2.6666666666666665,1.6666666666666667,2.0
afriqiyah-airways,4.888888888888889,4.888888888888889,4.888888888888889,4.888888888888889,4.888888888888889,3.1176470588235294
aigle-azur,6.0,4.0,4.0,0.0,0.0,4.0
air-algerie,4.8,1.7142857142857142,2.142857142857143,2.0,0.8,2.533333333333333
air-arabia,5.375,2.6666666666666665,2.5,2.3333333333333335,1.1666666666666667,3.0714285714285716
air-astana,8.281553398058252,4.128571428571429,4.314285714285714,4.057142857142857,3.3529411764705883,3.7155963302752295
air-austral,6.523809523809524,6.523809523809524,6.523809523809524,6.523809523809524,6.523809523809524,3.4
air-bagan,5.866666666666666,4.0,4.5,4.0,2.0,3.7777777777777777
air-berlin,6.014925373134329,2.8540772532188843,3.1587982832618025,2.995708154506438,2.5775862068965516,3.169435215946844
air-blue,3.2941176470588234,2.176470588235294,2.5294117647058822,2.764705882352941,0.7647058823529411,2.3333333333333335
air-botswana,6.230769230769231,1.0,0.8,0.6,0.2,1.5454545454545454
air-busan,9.454545454545455,4.0,4.666666666666667,2.3333333333333335,2.3333333333333335,4.090909090909091
air-cairo-user,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333
air-canada,4.6571428571428575,2.820773930753564,2.9327902240325865,2.457905544147844,2.9213250517598346,2.718940936863544
air-canada-rouge,2.5314685314685317,1.5076923076923077,2.4965034965034967,1.9039548022598871,1.4560906515580736,1.7216783216783216
air-caraibes,6.571428571428571,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.8333333333333335
air-china,4.953271028037383,3.131004366812227,2.9519650655021836,2.6140350877192984,2.3771929824561404,3.1353711790393013
air-corsica,5.0,3.0,3.0,3.0,0.0,3.0
air-dolomiti,6.829268292682927,3.6,4.2,3.8,2.0,3.4814814814814814
air-europa,5.346456692913386,3.0,2.8461538461538463,2.159090909090909,1.6551724137931034,2.6626506024096384
air-france,5.311557788944723,2.8944723618090453,3.278894472361809,3.0025125628140703,2.877237851662404,3.1030150753768844
air-greenland,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,4.0
air-india,6.356401384083045,3.588957055214724,3.1809815950920246,3.1226993865030677,2.51840490797546,3.4662576687116564
air-india-express,4.571428571428571,2.2222222222222223,3.3333333333333335,2.2222222222222223,0.875,3.6666666666666665
air-koryo,6.333333333333333,3.642857142857143,3.642857142857143,3.2142857142857144,2.357142857142857,3.6666666666666665
air-labrador,2.0,3.0,4.0,0.0,0.0,4.0
air-macau,4.25,3.0,4.0,3.0,2.0,1.6666666666666667
air-madagascar,4.833333333333333,3.75,3.5,2.75,1.0,3.5
air-malta,6.320987654320987,2.9375,3.40625,2.875,1.21875,3.1511627906976742
