shortcut,name
pristina-airport,Prishtina International Airport
antwerp-deurne-airport,Antwerp International Airport (Deurne)
brussels-zaventem-airport,Brussels Airport
brussels-charleroi-airport,Brussels South Charleroi Airport
liege-airport,Liège Airport
altenburg-airport,Altenburg-Nobitz Airport
berlin-schonefeld-airport,Berlin-Schönefeld Airport
frankfurt-main-airport,Frankfurt am Main Airport
hamburg-airport,Hamburg Airport
colognebonn-airport,Cologne Bonn Airport
dusseldorf-airport,Düsseldorf Airport
leipzighalle-airport,Leipzig/Halle Airport
frankfurt-hahn-airport,Frankfurt-Hahn Airport
hamburg-lubek-airport,Lübeck Blankensee Airport
paderborn-airport,Paderborn Lippstadt Airport
karlsruhe-airport,Karlsruhe Baden-Baden Airport
tallin-airport,Lennart Meri Tallinn Airport
belfast-city-airport,George Best Belfast City Airport
derry-airport,City of Derry Airport
doncaster-sheffield-airport,Robin Hood Doncaster Sheffield Airport
liverpool-airport,Liverpool John Lennon Airport
luton-airport,London Luton Airport
newquay-airport,Newquay Cornwall Airport
isle-of-man-ronaldsway-airport,Isle of Man Airport
durhamtees-valley-airport,Durham Tees Valley Airport
aberdeen-airport,Aberdeen Dyce Airport
amsterdam-schiphol-airport,Amsterdam Airport Schiphol
rotterdam-airport,Rotterdam The Hague Airport
copenhagen-airport,Copenhagen Kastrup Airport
luxembourg-airport,Luxembourg-Findel International Airport
oslo-airport,Oslo Gardermoen Airport
trondheim-airport,Trondheim Airport Værnes
stavanger-airport,Stavanger Airport Sola
gdansk-airport,Gdańsk Lech Wałęsa Airport
krakow-airport,Kraków John Paul II International Airport
warsaw-modlin-airport,Modlin Airport
poznan-airport,Poznań-Ławica Airport
szczecin-airport,"Szczecin-Goleniów ""Solidarność” Airport"
wroclaw-strachowice-airport,Copernicus Wrocław Airport
malmo-airport,Malmö Sturup Airport
stockholm-vasteras-airport,Stockholm Västerås Airport
palma-airport,La Palma Airport
tenerife-airport,Tenerife South Airport
tirana-airport,Tirana International Airport Mother Teresa
murcia-san-javier-airport,San Javier Airport
madrid-barajas-airport,Adolfo Suárez Madrid-Barajas Airport
malaga-airport,Málaga Airport
bordeaux-airport,Bordeaux-Mérignac Airport
bergerac-airport,Bergerac-Roumanière Airport
toulouse-airport,Toulouse-Blagnac Airport
rodez-airport,Rodez-Marcillac Airport
lyon-saint-exupery-airport,Lyon Saint-Exupéry Airport
grenoble-airport,Grenoble-Isère Airport
marseille-airport,Marseille Provence Airport
nice-cote-dazur-airport,Nice-Côte d'Azur Airport
paris-cdg-airport,Charles de Gaulle International Airport
basel-mulhouse-airport,EuroAirport Basel-Mulhouse-Freiburg Airport
strasbourg-airport,Strasbourg Airport
athens-airport,Eleftherios Venizelos International Airport
heraklion-airport,Heraklion International Nikos Kazantzakis Airport
corfu-airport,Ioannis Kapodistrias International Airport
skopje-airport,Alexander the Great International Airport
thessaloniki-airport,Thessaloniki Macedonia International Airport
budapest-ferihegy-airport,Budapest Liszt Ferenc International Airport
bari-palese-airport,Bari Karol Wojtyła Airport
brindisi-airport,Brindisi-Salento Airport
catania-airport,Catania-Fontanarossa Airport
genova-airport,Genoa Cristoforo Colombo Airport
bologna-marconi-airport,Bologna Guglielmo Marconi Airport
venice-treviso-airport,Treviso-Sant'Angelo Airport
trieste-airport,Trieste–Friuli Venezia Giulia Airport
rimini-airport,Federico Fellini International Airport
verona-airport,Verona Villafranca Airport
venice-marco-polo-airport,Venice Marco Polo Airport
rome-ciampino-airport,Ciampino – G. B. Pastine International Airport
rome-fiumicino-airport,Leonardo da Vinci – Fiumicino Airport
ljubljana-airport,Ljubljana Jože Pučnik Airport
prague-airport,Václav Havel Airport Prague
ponta-delgada-airport,João Paulo II Airport
porto-airport,Francisco de Sá Carneiro Airport
lisbon-airport,Humberto Delgado Airport (Lisbon Portela Airport)
bucharest-otopeni-airport,Henri Coandă International Airport
geneva-airport,Geneva Cointrin International Airport
berne-airport,Bern Belp Airport
zurich-airport,Zürich Airport
belgrade-airport,Belgrade Nikola Tesla Airport
bratislava-airport,M. R. Štefánik Airport
kosice-airport,Košice Airport
murcia-san-javier-airport,Región de Murcia International Airport
