ident,type,name,iso_country,iata_code,coordinates
BG-JAM,medium_airport,Bezmer Air Base,BG,JAM,"26.3521995544, 42.4548988342"
BIAR,medium_airport,Akureyri Airport,IS,AEY,"-18.07270050048828, 65.66000366210938"
BIEG,medium_airport,Egilsstaðir Airport,IS,EGS,"-14.401399612426758, 65.2833023071289"
BIHN,medium_airport,Hornafjörður Airport,IS,HFN,"-15.2272, 64.295601"
BIHU,medium_airport,Húsavík Airport,IS,HZK,"-17.426001, 65.952301"
BIIS,medium_airport,Ísafjörður Airport,IS,IFJ,"-23.135299682617188, 66.05809783935547"
BIKF,large_airport,Keflavik International Airport,IS,KEF,"-22.6056, 63.985001"
BIRK,medium_airport,Reykjavik Airport,IS,RKV,"-21.9405994415, 64.1299972534"
BISI,medium_airport,Siglufjörður Airport,IS,SIJ,"-18.9167, 66.133301"
BIVM,medium_airport,Vestmannaeyjar Airport,IS,VEY,"-20.278900146484375, 63.42430114746094"
BKPR,large_airport,Prishtina International Airport,XK,PRN,"21.035801, 42.5728"
EBAW,medium_airport,Antwerp International Airport (Deurne),BE,ANR,"4.46027994156, 51.1893997192"
EBBR,large_airport,Brussels Airport,BE,BRU,"4.48443984985, 50.901401519800004"
EBCI,large_airport,Brussels South Charleroi Airport,BE,CRL,"4.45382, 50.459202"
EBKT,medium_airport,Wevelgem Airport,BE,KJK,"3.20472002029, 50.817199707"
EBLG,large_airport,Liège Airport,BE,LGG,"5.443220138549805, 50.63740158081055"
EBOS,medium_airport,Ostend-Bruges International Airport,BE,OST,"2.8622200489, 51.198898315399994"
EDAC,medium_airport,Altenburg-Nobitz Airport,DE,AOC,"12.506389, 50.981945"
EDAH,medium_airport,Heringsdorf Airport,DE,HDF,"14.152299881, 53.8787002563"
EDBM,medium_airport,"Magdeburg ""City"" Airport",DE,ZMG,"11.626389, 52.073612"
EDBN,medium_airport,Neubrandenburg Airport,DE,FNB,"13.306, 53.6022"
EDDB,large_airport,Berlin-Schönefeld Airport,DE,SXF,"13.5225, 52.380001"
EDDC,large_airport,Dresden Airport,DE,DRS,"13.767200469970703, 51.1328010559082"
EDDE,medium_airport,Erfurt Airport,DE,ERF,"10.958100318908691, 50.979801177978516"
EDDF,large_airport,Frankfurt am Main Airport,DE,FRA,"8.570556, 50.033333"
EDDG,large_airport,Münster Osnabrück Airport,DE,FMO,"7.68483018875, 52.134601593"
EDDH,large_airport,Hamburg Airport,DE,HAM,"9.9882297515869, 53.630401611328"
EDDK,large_airport,Cologne Bonn Airport,DE,CGN,"7.1427397728, 50.8658981323"
EDDL,large_airport,Düsseldorf Airport,DE,DUS,"6.76678, 51.289501"
EDDM,large_airport,Munich Airport,DE,MUC,"11.7861, 48.353802"
EDDN,large_airport,Nuremberg Airport,DE,NUE,"11.078056, 49.498699"
EDDP,large_airport,Leipzig/Halle Airport,DE,LEJ,"12.236389, 51.423889"
EDDR,medium_airport,Saarbrücken Airport,DE,SCN,"7.10950994492, 49.214599609400004"
EDDS,large_airport,Stuttgart Airport,DE,STR,"9.22196006775, 48.689899444599995"
EDDT,large_airport,Berlin-Tegel Airport,DE,TXL,"13.2877, 52.5597"
EDDV,large_airport,Hannover Airport,DE,HAJ,"9.685079574580001, 52.461101532"
EDDW,large_airport,Bremen Airport,DE,BRE,"8.78666973114, 53.0475006104"
EDFH,medium_airport,Frankfurt-Hahn Airport,DE,HHN,"7.26389, 49.9487"
EDFM,medium_airport,Mannheim-City Airport,DE,MHG,"8.514167, 49.473057"
EDGE,medium_airport,Eisenach-Kindel Airport,DE,EIB,"10.47973, 50.991604"
EDGS,medium_airport,Siegerland Airport,DE,SGE,"8.082969665527344, 50.707698822021484"
EDHI,medium_airport,Hamburg-Finkenwerder Airport,DE,XFW,"9.835556030273438, 53.5352783203125"
EDHK,medium_airport,Kiel-Holtenau Airport,DE,KEL,"10.145277976989746, 54.37944412231445"
EDHL,medium_airport,Lübeck Blankensee Airport,DE,LBC,"10.7192001343, 53.8054008484"
EDJA,medium_airport,Memmingen Allgau Airport,DE,FMM,"10.2395000458, 47.988800048799995"
EDLN,medium_airport,Mönchengladbach Airport,DE,MGL,"6.504444, 51.230278"
EDLP,medium_airport,Paderborn Lippstadt Airport,DE,PAD,"8.616319656369999, 51.614101409899995"
EDLV,medium_airport,Weeze Airport,DE,NRN,"6.14216995239, 51.6024017334"
EDLW,large_airport,Dortmund Airport,DE,DTM,"7.61223983765, 51.51829910279999"
EDMA,medium_airport,Augsburg Airport,DE,AGB,"10.931667, 48.425278"
EDMO,medium_airport,Oberpfaffenhofen Airport,DE,OBF,"11.2831, 48.081402"
EDNY,medium_airport,Friedrichshafen Airport,DE,FDH,"9.51148986816, 47.671298980699994"
EDOP,medium_airport,Schwerin Parchim Airport,DE,SZW,"11.7834, 53.426998"
EDQD,medium_airport,Bayreuth Airport,DE,BYU,"11.64, 49.985001"
EDQM,medium_airport,Hof-Plauen Airport,DE,HOQ,"11.856389045715332, 50.288612365722656"
EDSB,large_airport,Karlsruhe Baden-Baden Airport,DE,FKB,"8.08049964905, 48.7793998718"
EDTD,medium_airport,Donaueschingen-Villingen Airport,DE,ZQL,"8.52222156525, 47.97333145139999"
EDTL,medium_airport,Lahr Airport,DE,LHA,"7.82772016525, 48.3693008423"
EDVE,medium_airport,Braunschweig-Wolfsburg Airport,DE,BWE,"10.5561, 52.319199"
EDVK,medium_airport,Kassel-Calden Airport,DE,KSF,"9.384967, 51.417273"
EDXW,medium_airport,Westerland Sylt Airport,DE,GWT,"8.34047031403, 54.9132003784"
EEKA,medium_airport,Kärdla Airport,EE,KDL,"22.830699920654297, 58.99079895019531"
EEKE,medium_airport,Kuressaare Airport,EE,URE,"22.50950050354004, 58.22990036010742"
EEPU,medium_airport,Pärnu Airport,EE,EPU,"24.47279930114746, 58.41899871826172"
EETN,large_airport,Lennart Meri Tallinn Airport,EE,TLL,"24.832799911499997, 59.41329956049999"
EETU,medium_airport,Tartu Airport,EE,TAY,"26.690399169900004, 58.3074989319"
EFET,medium_airport,Enontekio Airport,FI,ENF,"23.424299240112, 68.362602233887"
EFHA,medium_airport,Halli Airport,FI,KEV,"24.786686, 61.856039"
EFHF,medium_airport,Helsinki Malmi Airport,FI,HEM,"25.042800903320312, 60.254600524902344"
EFHK,large_airport,Helsinki Vantaa Airport,FI,HEL,"24.963300704956, 60.317199707031"
EFIT,medium_airport,Kitee Airport,FI,KTQ,"30.073601, 62.1661"
EFIV,medium_airport,Ivalo Airport,FI,IVL,"27.405300140381, 68.607299804688"
EFJO,medium_airport,Joensuu Airport,FI,JOE,"29.607500076294, 62.662899017334"
EFJY,medium_airport,Jyvaskyla Airport,FI,JYV,"25.678300857544, 62.399501800537"
EFKA,medium_airport,Kauhava Airport,FI,KAU,"23.051399, 63.127102"
EFKE,medium_airport,Kemi-Tornio Airport,FI,KEM,"24.582099914551, 65.778701782227"
EFKI,medium_airport,Kajaani Airport,FI,KAJ,"27.692399978638, 64.285499572754"
EFKJ,medium_airport,Kauhajoki Airport,FI,KHJ,"22.3931007385, 62.4625015259"
EFKK,medium_airport,Kokkola-Pietarsaari Airport,FI,KOK,"23.143100738525, 63.721199035645"
EFKS,medium_airport,Kuusamo Airport,FI,KAO,"29.239400863647, 65.987602233887"
EFKT,medium_airport,Kittilä Airport,FI,KTT,"24.846799850464, 67.700996398926"
EFKU,medium_airport,Kuopio Airport,FI,KUO,"27.797800064087, 63.007099151611"
EFLP,medium_airport,Lappeenranta Airport,FI,LPP,"28.144743, 61.044601"
EFMA,medium_airport,Mariehamn Airport,FI,MHQ,"19.898199081421, 60.122200012207"
EFMI,medium_airport,Mikkeli Airport,FI,MIK,"27.201799, 61.6866"
EFOU,medium_airport,Oulu Airport,FI,OUL,"25.354600906372, 64.930099487305"
EFPO,medium_airport,Pori Airport,FI,POR,"21.799999237061, 61.461700439453"
EFRO,medium_airport,Rovaniemi Airport,FI,RVN,"25.830400466919, 66.564796447754"
EFSA,medium_airport,Savonlinna Airport,FI,SVL,"28.945100784302, 61.943099975586"
EFSI,medium_airport,Seinäjoki Airport,FI,SJY,"22.8323, 62.692101"
EFSO,medium_airport,Sodankyla Airport,FI,SOT,"26.6191005707, 67.3949966431"
EFTP,medium_airport,Tampere-Pirkkala Airport,FI,TMP,"23.604400634766, 61.414100646973"
EFTU,medium_airport,Turku Airport,FI,TKU,"22.262800216675, 60.514099121094"
EFUT,medium_airport,Utti Air Base,FI,UTI,"26.938400268555, 60.89640045166"
EFVA,medium_airport,Vaasa Airport,FI,VAA,"21.762199401855, 63.050701141357"
EFVR,medium_airport,Varkaus Airport,FI,VRK,"27.868600845337, 62.171100616455"
EFYL,medium_airport,Ylivieska Airfield,FI,YLI,"24.7252778, 64.0547222"
EGAA,large_airport,Belfast International Airport,GB,BFS,"-6.2158298492399995, 54.6575012207"
EGAB,medium_airport,St Angelo Airport,GB,ENK,"-7.651669979095459, 54.39889907836914"
EGAC,large_airport,George Best Belfast City Airport,GB,BHD,"-5.872499942779541, 54.618099212646484"
EGAE,medium_airport,City of Derry Airport,GB,LDY,"-7.161109924316406, 55.04280090332031"
EGBB,large_airport,Birmingham International Airport,GB,BHX,"-1.74802994728, 52.453899383499994"
EGBE,medium_airport,Coventry Airport,GB,CVT,"-1.4797199964499999, 52.3697013855"
EGBJ,medium_airport,Gloucestershire Airport,GB,GLO,"-2.167220115661621, 51.89419937133789"
EGBN,medium_airport,Nottingham Airport,GB,NQT,"-1.0791699886322021, 52.91999816894531"
EGCC,large_airport,Manchester Airport,GB,MAN,"-2.2749500274658203, 53.35369873046875"
EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,GB,DSA,"-1.01065635681, 53.4805378105"
EGDY,medium_airport,RNAS Yeovilton,GB,YEO,"-2.638819932937622, 51.0093994140625"
EGEC,medium_airport,Campbeltown Airport,GB,CAL,"-5.686389923095703, 55.437198638916016"
EGED,medium_airport,Eday Airport,GB,EOI,"-2.7722198963165283, 59.19060134887695"
EGEF,medium_airport,Fair Isle Airport,GB,FIE,"-1.628059983253479, 59.53580093383789"
EGFE,medium_airport,Haverfordwest Airport,GB,HAW,"-4.9611101150512695, 51.833099365234375"
EGFF,large_airport,Cardiff International Airport,GB,CWL,"-3.343329906463623, 51.39670181274414"
EGFH,medium_airport,Swansea Airport,GB,SWS,"-4.0678300857543945, 51.60530090332031"
EGGD,large_airport,Bristol Airport,GB,BRS,"-2.71909, 51.382702"
EGGP,large_airport,Liverpool John Lennon Airport,GB,LPL,"-2.849720001220703, 53.33359909057617"
EGGW,large_airport,London Luton Airport,GB,LTN,"-0.36833301186561584, 51.874698638916016"
EGHC,medium_airport,Land's End Airport,GB,LEQ,"-5.67056, 50.102798"
EGHE,medium_airport,St. Mary's Airport,GB,ISC,"-6.291669845581055, 49.913299560546875"
EGHH,large_airport,Bournemouth Airport,GB,BOH,"-1.8424999713897705, 50.779998779296875"
EGHI,large_airport,Southampton Airport,GB,SOU,"-1.3567999601364136, 50.95029830932617"
EGHQ,medium_airport,Newquay Cornwall Airport,GB,NQY,"-4.995409965515137, 50.44060134887695"
EGJA,medium_airport,Alderney Airport,GG,ACI,"-2.21472, 49.706104"
EGJB,medium_airport,Guernsey Airport,GG,GCI,"-2.6019699573516846, 49.435001373291016"
EGJJ,medium_airport,Jersey Airport,JE,JER,"-2.195509910583496, 49.20790100097656"
EGKA,medium_airport,Shoreham Airport,GB,ESH,"-0.297222, 50.835602"
EGKB,medium_airport,London Biggin Hill Airport,GB,BQH,"0.0324999988079, 51.33079910279999"
EGKK,large_airport,London Gatwick Airport,GB,LGW,"-0.190278, 51.148102"
EGLC,medium_airport,London City Airport,GB,LCY,"0.055278, 51.505299"
EGLF,medium_airport,Farnborough Airport,GB,FAB,"-0.776332974434, 51.2757987976"
EGLK,medium_airport,Blackbushe Airport,GB,BBS,"-0.8475000262260437, 51.32389831542969"
