,departure_airport_id,destination_airport_id,airline_id,distance
0,AER,KZN,2B,1506
1,ASF,KZN,2B,1040
2,ASF,MRV,2B,448
3,CEK,KZN,2B,770
4,DME,KZN,2B,715
5,DME,NBC,2B,892
6,DME,TGK,2B,915
7,DME,UUA,2B,951
8,EGO,KGD,2B,1171
9,EGO,KZN,2B,1008
10,KGD,EGO,2B,1171
11,KZN,AER,2B,1506
12,KZN,ASF,2B,1040
13,KZN,CEK,2B,770
14,KZN,DME,2B,715
15,KZN,EGO,2B,1008
16,KZN,LED,2B,1216
17,LED,KZN,2B,1216
18,LED,NBC,2B,1372
19,LED,UUA,2B,1464
20,MRV,ASF,2B,448
21,NBC,DME,2B,892
22,NBC,LED,2B,1372
23,TGK,DME,2B,915
24,UUA,DME,2B,951
25,UUA,LED,2B,1464
26,BDS,ZRH,2L,1064
27,BOD,ZRH,2L,770
28,BRS,ZRH,2L,922
29,GVA,LPA,2L,2771
30,LPA,ZRH,2L,3001
31,TFS,GVA,2L,2832
32,ZRH,BDS,2L,1064
33,ZRH,BOD,2L,770
34,ZRH,BRS,2L,922
35,ZRH,LPA,2L,3001
36,AJR,LYC,2N,118
37,ARN,GEV,2N,843
38,ARN,HAD,2N,444
39,ARN,JKG,2N,306
40,ARN,KRF,2N,377
41,ARN,KSD,2N,259
42,ARN,LYC,2N,546
43,ARN,MHQ,2N,122
44,ARN,OER,2N,421
45,ARN,POR,2N,292
46,ARN,TRF,2N,436
47,ARN,VBY,2N,222
48,ARN,VHM,2N,550
49,ARN,VXO,2N,355
50,GEV,ARN,2N,843
51,GEV,KRF,2N,475
52,HAD,ARN,2N,444
53,HAD,JKG,2N,140
54,HAD,VXO,2N,119
55,HMV,VHM,2N,159
56,JKG,ARN,2N,306
57,JKG,HAD,2N,140
58,KOK,POR,2N,260
59,KRF,ARN,2N,377
60,KRF,GEV,2N,475
61,KSD,ARN,2N,259
62,LYC,AJR,2N,118
63,LYC,ARN,2N,546
64,MHQ,ARN,2N,122
65,MHQ,TKU,2N,137
66,OER,ARN,2N,421
67,OSL,VXO,2N,419
68,POR,ARN,2N,292
69,POR,KOK,2N,260
70,TKU,MHQ,2N,137
71,TRF,ARN,2N,436
72,VBY,ARN,2N,222
73,VHM,ARN,2N,550
74,VHM,HMV,2N,159
75,VXO,ARN,2N,355
76,VXO,OSL,2N,419
77,ACH,EBA,3L,528
78,DRS,ZRH,3L,556
79,DUS,FDH,3L,448
80,EBA,ACH,3L,528
81,EBA,FDH,3L,549
82,EBA,MUC,3L,633
83,EBA,ZRH,3L,539
84,FDH,DUS,3L,448
85,FDH,EBA,3L,549
86,FDH,HAM,3L,663
87,FDH,OLB,3L,753
88,FDH,TXL,3L,606
89,FDH,ZAD,3L,600
90,FMM,NAP,3L,852
91,GRZ,ZRH,3L,522
92,HAM,FDH,3L,663
93,MUC,EBA,3L,633
94,NAP,FMM,3L,852
95,OLB,FDH,3L,753
96,SZG,ZRH,3L,335
97,TXL,FDH,3L,606
98,ZAD,FDH,3L,600
99,ZRH,DRS,3L,556
100,ZRH,EBA,3L,539
101,ZRH,GRZ,3L,522
102,ZRH,SZG,3L,335
103,ASF,DME,3R,1235
104,ASF,LED,3R,1902
105,DME,ASF,3R,1235
106,DME,EGO,3R,537
107,DME,TIV,3R,2001
108,EGO,DME,3R,537
109,LED,ASF,3R,1902
110,TIV,DME,3R,2001
111,EYK,VKO,4G,1859
112,UCT,VKO,4G,1279
113,VKO,EYK,4G,1859
114,VKO,UCT,4G,1279
115,PRN,ZRH,4T,1120
116,SKP,ZRH,4T,1198
117,ZRH,PRN,4T,1120
118,ZRH,SKP,4T,1198
119,AGP,STR,4U,1738
120,AGP,TXL,4U,2245
121,AMS,HAM,4U,379
122,AOI,DUS,4U,985
123,AOI,TXL,4U,994
124,ARN,CGN,4U,1188
125,ARN,DUS,4U,1162
126,ARN,HAM,4U,825
127,ATH,CGN,4U,1952
128,ATH,STR,4U,1682
129,BCN,CGN,4U,1132
130,BCN,DUS,4U,1167
131,BCN,HAJ,4U,1367
132,BCN,HAM,4U,1492
133,BCN,STR,4U,994
134,BDS,STR,4U,1127
135,BEG,STR,4U,946
136,BGO,HAM,4U,794
137,BHX,HAM,4U,794
138,BHX,TXL,4U,1015
139,BIA,CGN,4U,941
140,BIA,DUS,4U,992
141,BIA,HAM,4U,1232
142,BIA,STR,4U,682
143,BIA,TXL,4U,1148
144,BIO,DUS,4U,1147
145,BIO,STR,4U,1110
146,BLQ,CGN,4U,768
147,BLQ,TXL,4U,904
148,BRE,STR,4U,485
149,BRI,CGN,4U,1309
150,BRI,DUS,4U,1363
151,BRI,STR,4U,1027
152,BRU,STR,4U,419
153,BSL,DUS,4U,415
154,BUD,CGN,4U,959
155,BUD,HAM,4U,949
156,BUD,STR,4U,758
157,CAG,CGN,4U,1300
158,CAG,DUS,4U,1350
159,CAG,STR,4U,1049
160,CDG,HAM,4U,727
161,CFU,CGN,4U,1597
162,CFU,DRS,4U,1367
163,CFU,STR,4U,1319
164,CGN,ARN,4U,1188
165,CGN,ATH,4U,1952
166,CGN,BCN,4U,1132
167,CGN,BIA,4U,941
168,CGN,BLQ,4U,768
169,CGN,BRI,4U,1309
170,CGN,BUD,4U,959
171,CGN,CAG,4U,1300
172,CGN,CFU,4U,1597
173,CGN,CLY,4U,935
174,CGN,CTA,4U,1616
175,CGN,DBV,4U,1251
176,CGN,DRS,4U,464
177,CGN,DUB,4U,956
178,CGN,EDI,4U,895
179,CGN,FAO,4U,1950
180,CGN,FCO,4U,1080
181,CGN,FDH,4U,394
182,CGN,HAM,4U,363
183,CGN,HDF,4U,581
184,CGN,HER,4U,2251
185,CGN,IBZ,4U,1407
186,CGN,JMK,4U,2072
187,CGN,JTR,4U,2171
188,CGN,KGS,4U,2224
189,CGN,KLU,4U,705
190,CGN,KVA,4U,1740
191,CGN,LEJ,4U,360
192,CGN,LHR,4U,534
193,CGN,LIS,4U,1850
194,CGN,LPA,4U,3174
195,CGN,MAN,4U,699
196,CGN,MXP,4U,593
197,CGN,NAP,4U,1238
198,CGN,NCE,4U,801
199,CGN,OLB,4U,1123
200,CGN,PMI,4U,1303
201,CGN,PMO,4U,1486
202,CGN,PRG,4U,510
203,CGN,PSA,4U,835
204,CGN,PUY,4U,833
205,CGN,RHO,4U,2314
206,CGN,RJK,4U,835
207,CGN,RLG,4U,486
208,CGN,SJJ,4U,1148
209,CGN,SKG,4U,1677
210,CGN,SPU,4U,1067
211,CGN,STN,4U,492
212,CGN,SUF,4U,1508
213,CGN,SZG,4U,544
214,CGN,TXL,4U,463
215,CGN,VCE,4U,709
216,CGN,VIE,4U,745
217,CGN,VRN,4U,668
218,CGN,WAW,4U,965
219,CGN,XRY,4U,1887
220,CGN,ZAD,4U,970
221,CGN,ZAG,4U,870
222,CGN,ZRH,4U,391
223,CLY,CGN,4U,935
224,CTA,CGN,4U,1616
225,CTA,DUS,4U,1670
226,CTA,HAJ,4U,1718
227,CTA,HAM,4U,1839
228,CTA,STR,4U,1334
229,CTA,TXL,4U,1683
230,CWL,DUS,4U,701
231,DBV,CGN,4U,1251
232,DBV,DUS,4U,1302
233,DBV,HAJ,4U,1273
234,DBV,HAM,4U,1373
235,DBV,STR,4U,978
236,DBV,TXL,4U,1172
237,DRS,CFU,4U,1367
238,DRS,CGN,4U,464
239,DRS,DUS,4U,487
240,DRS,STR,4U,423
241,DTM,HDF,4U,512
242,DTM,MUC,4U,461
243,DTM,PMI,4U,1382
244,DTM,SPU,4U,1099
245,DUB,CGN,4U,956
246,DUB,DUS,4U,915
247,DUS,AOI,4U,985
248,DUS,ARN,4U,1162
249,DUS,BCN,4U,1167
250,DUS,BIA,4U,992
251,DUS,BIO,4U,1147
252,DUS,BRI,4U,1363
253,DUS,BSL,4U,415
254,DUS,CAG,4U,1350
255,DUS,CTA,4U,1670
256,DUS,CWL,4U,701
257,DUS,DBV,4U,1302
258,DUS,DRS,4U,487
259,DUS,DUB,4U,915
260,DUS,GVA,4U,563
261,DUS,HDF,4U,575
262,DUS,HER,4U,2302
263,DUS,IBZ,4U,1443
264,DUS,KTW,4U,867
265,DUS,LEJ,4U,380
266,DUS,LYS,4U,630
267,DUS,MAD,4U,1441
268,DUS,MPL,4U,883
269,DUS,MXP,4U,645
270,DUS,NQY,4U,829
271,DUS,NUE,4U,364
272,DUS,OLB,4U,1174
273,DUS,PMI,4U,1341
274,DUS,POZ,4U,701
275,DUS,PRG,4U,543
276,DUS,PRN,4U,1449
277,DUS,SKG,4U,1726
278,DUS,SPU,4U,1119
279,DUS,SUF,4U,1562
280,DUS,TRN,4U,680
281,DUS,VCE,4U,763
282,DUS,WAW,4U,981
283,DUS,WRO,4U,704
284,DUS,ZAD,4U,1023
285,EDI,CGN,4U,895
286,FAO,CGN,4U,1950
