ident,type,name,iata_code,coordinates
BG-JAM,medium_airport,Bezmer Air Base,JAM,"26.3521995544, 42.4548988342"
BIAR,medium_airport,Akureyri Airport,AEY,"-18.07270050048828, 65.66000366210938"
BIKF,large_airport,Keflavik International Airport,KEF,"-22.6056, 63.985001"
BIRK,medium_airport,Reykjavik Airport,RKV,"-21.9405994415, 64.1299972534"
BIVM,medium_airport,Vestmannaeyjar Airport,VEY,"-20.278900146484375, 63.42430114746094"
EBAW,medium_airport,Antwerp International Airport (Deurne),ANR,"4.46027994156, 51.1893997192"
EBBR,large_airport,Brussels Airport,BRU,"4.48443984985, 50.901401519800004"
EBCI,large_airport,Brussels South Charleroi Airport,CRL,"4.45382, 50.459202"
EBKT,medium_airport,Wevelgem Airport,KJK,"3.20472002029, 50.817199707"
EBOS,medium_airport,Ostend-Bruges International Airport,OST,"2.8622200489, 51.198898315399994"
EDAC,medium_airport,Altenburg-Nobitz Airport,AOC,"12.506389, 50.981945"
EDAH,medium_airport,Heringsdorf Airport,HDF,"14.152299881, 53.8787002563"
EDBM,medium_airport,"Magdeburg ""City"" Airport",ZMG,"11.626389, 52.073612"
EDBN,medium_airport,Neubrandenburg Airport,FNB,"13.306, 53.6022"
EDDC,large_airport,Dresden Airport,DRS,"13.767200469970703, 51.1328010559082"
EDDE,medium_airport,Erfurt Airport,ERF,"10.958100318908691, 50.979801177978516"
EDDF,large_airport,Frankfurt am Main Airport,FRA,"8.570556, 50.033333"
EDDH,large_airport,Hamburg Airport,HAM,"9.9882297515869, 53.630401611328"
EDDK,large_airport,Cologne Bonn Airport,CGN,"7.1427397728, 50.8658981323"
EDDM,large_airport,Munich Airport,MUC,"11.7861, 48.353802"
EDDN,large_airport,Nuremberg Airport,NUE,"11.078056, 49.498699"
EDDP,large_airport,Leipzig/Halle Airport,LEJ,"12.236389, 51.423889"
EDDS,large_airport,Stuttgart Airport,STR,"9.22196006775, 48.689899444599995"
EDDT,large_airport,Berlin-Tegel Airport,TXL,"13.2877, 52.5597"
EDDV,large_airport,Hannover Airport,HAJ,"9.685079574580001, 52.461101532"
EDDW,large_airport,Bremen Airport,BRE,"8.78666973114, 53.0475006104"
EDFH,medium_airport,Frankfurt-Hahn Airport,HHN,"7.26389, 49.9487"
EDFM,medium_airport,Mannheim-City Airport,MHG,"8.514167, 49.473057"
EDGE,medium_airport,Eisenach-Kindel Airport,EIB,"10.47973, 50.991604"
EDGS,medium_airport,Siegerland Airport,SGE,"8.082969665527344, 50.707698822021484"
EDHI,medium_airport,Hamburg-Finkenwerder Airport,XFW,"9.835556030273438, 53.5352783203125"
EDHK,medium_airport,Kiel-Holtenau Airport,KEL,"10.145277976989746, 54.37944412231445"
EDJA,medium_airport,Memmingen Allgau Airport,FMM,"10.2395000458, 47.988800048799995"
EDLP,medium_airport,Paderborn Lippstadt Airport,PAD,"8.616319656369999, 51.614101409899995"
EDLV,medium_airport,Weeze Airport,NRN,"6.14216995239, 51.6024017334"
EDLW,large_airport,Dortmund Airport,DTM,"7.61223983765, 51.51829910279999"
EDMA,medium_airport,Augsburg Airport,AGB,"10.931667, 48.425278"
EDMO,medium_airport,Oberpfaffenhofen Airport,OBF,"11.2831, 48.081402"
EDNY,medium_airport,Friedrichshafen Airport,FDH,"9.51148986816, 47.671298980699994"
EDOP,medium_airport,Schwerin Parchim Airport,SZW,"11.7834, 53.426998"
EDQD,medium_airport,Bayreuth Airport,BYU,"11.64, 49.985001"
EDQM,medium_airport,Hof-Plauen Airport,HOQ,"11.856389045715332, 50.288612365722656"
EDSB,large_airport,Karlsruhe Baden-Baden Airport,FKB,"8.08049964905, 48.7793998718"
EDTD,medium_airport,Donaueschingen-Villingen Airport,ZQL,"8.52222156525, 47.97333145139999"
EDTL,medium_airport,Lahr Airport,LHA,"7.82772016525, 48.3693008423"
EDVE,medium_airport,Braunschweig-Wolfsburg Airport,BWE,"10.5561, 52.319199"
EDVK,medium_airport,Kassel-Calden Airport,KSF,"9.384967, 51.417273"
EDXW,medium_airport,Westerland Sylt Airport,GWT,"8.34047031403, 54.9132003784"
EEKE,medium_airport,Kuressaare Airport,URE,"22.50950050354004, 58.22990036010742"
EETN,large_airport,Lennart Meri Tallinn Airport,TLL,"24.832799911499997, 59.41329956049999"
EETU,medium_airport,Tartu Airport,TAY,"26.690399169900004, 58.3074989319"
EFET,medium_airport,Enontekio Airport,ENF,"23.424299240112, 68.362602233887"
EFHA,medium_airport,Halli Airport,KEV,"24.786686, 61.856039"
EFHF,medium_airport,Helsinki Malmi Airport,HEM,"25.042800903320312, 60.254600524902344"
EFHK,large_airport,Helsinki Vantaa Airport,HEL,"24.963300704956, 60.317199707031"
EFIT,medium_airport,Kitee Airport,KTQ,"30.073601, 62.1661"
EFIV,medium_airport,Ivalo Airport,IVL,"27.405300140381, 68.607299804688"
EFJO,medium_airport,Joensuu Airport,JOE,"29.607500076294, 62.662899017334"
EFJY,medium_airport,Jyvaskyla Airport,JYV,"25.678300857544, 62.399501800537"
EFKA,medium_airport,Kauhava Airport,KAU,"23.051399, 63.127102"
EFKE,medium_airport,Kemi-Tornio Airport,KEM,"24.582099914551, 65.778701782227"
EFKI,medium_airport,Kajaani Airport,KAJ,"27.692399978638, 64.285499572754"
EFKJ,medium_airport,Kauhajoki Airport,KHJ,"22.3931007385, 62.4625015259"
EFKK,medium_airport,Kokkola-Pietarsaari Airport,KOK,"23.143100738525, 63.721199035645"
EFKS,medium_airport,Kuusamo Airport,KAO,"29.239400863647, 65.987602233887"
EFKU,medium_airport,Kuopio Airport,KUO,"27.797800064087, 63.007099151611"
EFLP,medium_airport,Lappeenranta Airport,LPP,"28.144743, 61.044601"
EFMA,medium_airport,Mariehamn Airport,MHQ,"19.898199081421, 60.122200012207"
EFMI,medium_airport,Mikkeli Airport,MIK,"27.201799, 61.6866"
EFOU,medium_airport,Oulu Airport,OUL,"25.354600906372, 64.930099487305"
EFPO,medium_airport,Pori Airport,POR,"21.799999237061, 61.461700439453"
EFRO,medium_airport,Rovaniemi Airport,RVN,"25.830400466919, 66.564796447754"
EFSA,medium_airport,Savonlinna Airport,SVL,"28.945100784302, 61.943099975586"
EFSO,medium_airport,Sodankyla Airport,SOT,"26.6191005707, 67.3949966431"
EFTP,medium_airport,Tampere-Pirkkala Airport,TMP,"23.604400634766, 61.414100646973"
EFTU,medium_airport,Turku Airport,TKU,"22.262800216675, 60.514099121094"
EFUT,medium_airport,Utti Air Base,UTI,"26.938400268555, 60.89640045166"
EFVA,medium_airport,Vaasa Airport,VAA,"21.762199401855, 63.050701141357"
EFVR,medium_airport,Varkaus Airport,VRK,"27.868600845337, 62.171100616455"
EFYL,medium_airport,Ylivieska Airfield,YLI,"24.7252778, 64.0547222"
EGAA,large_airport,Belfast International Airport,BFS,"-6.2158298492399995, 54.6575012207"
