id,name,overall_rating,seat_comfort,service_quality,food_quality,onboard_entertainment,quality_price_ratio
ZI,Aigle Azur,6.0,4.0,4.0,0.0,0.0,4.0
JP,Adria Airways,6.885714285714286,4.0,4.176470588235294,3.294117647058824,1.3529411764705883,3.3548387096774195
UX,Air Europa,5.346456692913386,3.0,2.8461538461538463,2.159090909090909,1.6551724137931034,2.6626506024096384
A3,Aegean Airlines,7.823788546255507,3.736040609137056,4.071065989847716,3.566326530612245,1.891891891891892,3.726890756302521
SU,Aeroflot Russian Airlines,6.737288135593221,3.527093596059113,3.5369458128078817,3.4679802955665027,3.014851485148515,3.865546218487395
AF,Air France,5.311557788944723,2.8944723618090453,3.278894472361809,3.0025125628140703,2.877237851662404,3.1030150753768844
J2,Azerbaijan Airlines,6.444444444444445,4.428571428571429,4.0,4.714285714285714,3.1666666666666665,4.230769230769231
AB,Air Berlin,6.014925373134329,2.8540772532188843,3.1587982832618025,2.995708154506438,2.577586206896552,3.169435215946844
TN,Air Tahiti Nui,5.018518518518518,2.5405405405405403,3.189189189189189,3.0,2.45945945945946,2.607142857142857
KM,Air Malta,6.320987654320987,2.9375,3.40625,2.875,1.21875,3.1511627906976742
YW,Air Nostrum,5.857142857142857,3.75,3.25,0.25,0.25,2.8461538461538463
BT,Air Baltic,5.477777777777778,2.872340425531915,2.9574468085106385,1.6595744680851063,0.6956521739130435,2.6132075471698117
OS,Austrian Airlines,6.110266159695818,3.0711743772241995,3.512455516014235,3.3790613718411557,2.265682656826568,3.2419928825622777
DR,Air Mediterranee,4.25,2.6666666666666665,3.333333333333333,3.6666666666666665,1.3333333333333333,2.5
AZ,Alitalia,5.501766784452297,3.0339506172839505,2.935185185185185,2.685185185185185,2.10377358490566,3.009259259259259
EN,Air Dolomiti,6.829268292682927,3.6,4.2,3.8,2.0,3.4814814814814814
EI,Aer Lingus,7.289817232375979,3.490963855421686,3.734939759036144,2.9603658536585367,2.067692307692308,3.5985576923076925
GL,Air Greenland,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,5.666666666666667,4.0
KC,Air Astana,8.281553398058252,4.128571428571429,4.314285714285714,4.057142857142857,3.3529411764705883,3.7155963302752295
9U,Air Moldova,5.944444444444445,2.0,2.25,2.4285714285714284,0.6666666666666666,3.2
UU,Air Austral,6.523809523809524,6.523809523809524,6.523809523809524,6.523809523809524,6.523809523809524,3.4
OR,Arkefly,4.696969696969697,0.4615384615384615,0.6923076923076923,0.3846153846153846,0.3846153846153846,1.8108108108108107
BA,British Airways,5.881696428571429,3.1768631813125694,3.532814238042269,3.0814732142857144,2.620809248554913,3.234444444444444
KF,Blue1,5.0,4.0,4.0,3.0,0.0,3.357142857142857
BV,Blue Panorama Airlines,3.0,3.0,3.0,3.0,3.0,3.0
SN,Brussels Airlines,6.1692307692307695,3.196078431372549,3.4901960784313726,2.574324324324324,1.4965034965034965,3.023809523809524
NT,Binter Canarias,8.833333333333334,4.25,4.25,4.5,0.0,4.0
0B,Blue Air,5.352941176470588,1.25,1.625,1.125,0.4285714285714285,1.9130434782608696
FB,Bulgaria Air,6.5,1.103448275862069,1.206896551724138,1.1724137931034482,0.3448275862068966,1.9444444444444444
V3,Carpatair,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.0
WX,CityJet,6.123076923076923,3.125,3.5416666666666665,3.020833333333333,1.319148936170213,3.1044776119402986
CJ,BA CityFlyer,8.108108108108109,4.5,4.5,3.8333333333333335,8.108108108108109,3.8684210526315783
OU,Croatia Airlines,6.808510638297872,3.272727272727273,3.636363636363636,2.571428571428572,0.9047619047619048,3.372549019607843
T3,Eastern Airways,5.925,1.818181818181818,2.090909090909091,1.9090909090909087,0.8888888888888888,2.15625
WK,Edelweiss Air,8.1,3.631578947368421,4.473684210526316,4.052631578947368,3.5789473684210527,3.928571428571429
OV,Estonian Air,5.266666666666667,3.6,3.5,2.5,1.8888888888888888,3.263157894736842
EW,Eurowings,5.0625,4.0,2.5,2.5,0.0,2.555555555555556
U2,easyJet,7.355844155844156,3.295302013422819,3.527964205816555,2.3302325581395347,1.0,3.6666666666666665
AY,Finnair,6.349431818181818,3.0814332247557004,3.771986970684039,3.039087947882736,2.369281045751634,3.297814207650273
BE,Flybe,6.2703862660944205,2.827242524916944,2.8970099667774085,1.4880546075085324,0.0915492957746478,2.424731182795699
A9,Georgian Airways,7.0,3.5,4.0,4.0,1.0,3.0
4U,Germanwings,5.759615384615385,3.257142857142857,2.9285714285714284,1.9130434782608696,0.6029411764705882,3.125
X3,TUIfly,4.517241379310345,2.333333333333333,3.6666666666666665,3.0,2.0,3.7
FI,Icelandair,6.579591836734694,3.198863636363636,3.721590909090909,2.6416184971098264,3.148571428571429,3.218637992831541
3L,Intersky,6.0,3.75,4.5,4.25,1.0,4.0
LS,Jet2.com,6.95016611295681,3.229461756373938,3.5892351274787537,2.5828571428571427,1.0,3.4334277620396603
JF,Jetairfly,4.0,2.857142857142857,2.571428571428572,2.571428571428572,2.2857142857142856,2.555555555555556
KL,KLM Royal Dutch Airlines,7.178674351585014,3.383783783783784,3.9783783783783786,3.5594594594594597,3.076294277929155,3.6297297297297297
LO,LOT Polish Airlines,6.335664335664336,3.4827586206896552,3.4827586206896552,3.017391304347826,1.5,3.353333333333333
LH,Lufthansa,6.993333333333333,3.3716666666666666,4.085,3.58,3.361158432708688,3.683333333333333
LG,Luxair,7.055555555555555,4.0,4.571428571428571,4.571428571428571,1.5,3.909090909090909
MP,Martinair,3.466666666666667,3.466666666666667,3.466666666666667,3.466666666666667,3.466666666666667,1.75
IG,Meridiana,5.464285714285714,2.8974358974358974,2.948717948717949,2.5789473684210527,1.4814814814814814,2.493333333333333
2M,Moldavian Airlines,8.25,8.25,8.25,8.25,8.25,4.0
ZB,Monarch Airlines,6.116438356164384,2.616580310880829,3.3523316062176165,2.318537859007833,0.712401055408971,2.883419689119171
YM,Montenegro Airlines,4.818181818181818,4.0,2.0,3.0,0.0,4.0
2N,NextJet,3.0,1.0,2.0,4.0,0.0,1.0
HG,Niki,8.344827586206897,1.25,1.75,2.0,1.25,3.4
8Q,Onur Air,5.846938775510204,2.0,2.238095238095238,1.761904761904762,0.7857142857142857,2.9302325581395348
FR,Ryanair,6.539772727272728,2.870820668693009,3.0364741641337387,1.743307086614173,1.6666666666666667,3.278115501519757
LX,Swiss International Air Lines,7.185534591194968,3.4970238095238093,3.851190476190476,3.580357142857143,2.735735735735736,3.577380952380953
XQ,SunExpress,4.0,4.0,4.0,4.0,4.0,2.5
TP,TAP Portugal,5.559602649006623,2.9974293059125965,2.876606683804628,2.709511568123393,1.804177545691906,2.691516709511568
FQ,Thomas Cook Airlines,5.091772151898734,2.4097560975609755,3.1609756097560977,2.6968215158924207,1.8296296296296295,2.658536585365854
TK,Turkish Airlines,6.02680412371134,3.359437751004016,3.265060240963856,3.746987951807229,3.183838383838384,3.5803212851405624
UN,Transaero Airlines,5.446808510638298,3.03125,3.0,2.5625,1.28125,3.163265306122449
U6,Ural Airlines,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.0
UT,UTair Aviation,7.571428571428571,2.0,1.5,2.0,0.5,2.857142857142857
PS,Ukraine International Airlines,5.8977272727272725,3.0434782608695654,3.36231884057971,2.656716417910448,1.3076923076923077,3.3294117647058825
VS,Virgin Atlantic Airways,5.516556291390729,2.964757709251101,3.350220264317181,2.9030837004405288,3.2560706401766004,3.0881057268722465
VY,Vueling Airlines,5.2727272727272725,2.408450704225352,2.5774647887323945,1.5135135135135136,0.651685393258427,2.452145214521452
VG,VLM Airlines,5.148148148148148,5.0,5.0,5.0,5.148148148148148,4.166666666666667
W6,Wizz Air,5.777777777777778,2.4390243902439024,2.7804878048780486,1.609271523178808,0.6805555555555556,2.9450549450549453
SE,XL Airways France,6.6,2.074074074074074,3.1481481481481484,2.423076923076923,1.88,3.45945945945946
