name,id,overall_rating,queuing_efficiency,cleanliness,shopping_facilities
Keflavik International Airport,KEF,4.53125,2.5185185185185186,3.740740740740741,2.5
Prishtina International Airport,PRN,6.25,4.5,4.5,4.5
Antwerp International Airport (Deurne),ANR,5.5,5.0,4.0,4.0
Brussels Airport,BRU,4.25925925925926,2.74468085106383,3.425531914893617,2.8297872340425534
Brussels South Charleroi Airport,CRL,3.1923076923076925,2.590909090909091,3.227272727272727,1.9545454545454544
Liège Airport,LGG,5.0,5.0,4.0,3.0
Altenburg-Nobitz Airport,AOC,3.0,3.0,3.0,3.0
Berlin-Schönefeld Airport,SXF,3.088235294117647,1.9047619047619049,2.095238095238096,1.238095238095238
Dresden Airport,DRS,4.0,4.0,4.0,4.0
Frankfurt am Main Airport,FRA,3.7158469945355193,2.392523364485981,3.434579439252337,2.559241706161137
Hamburg Airport,HAM,5.315789473684211,3.6666666666666665,4.666666666666667,4.333333333333333
Cologne Bonn Airport,CGN,6.0588235294117645,4.545454545454546,4.727272727272728,3.272727272727273
Düsseldorf Airport,DUS,4.648648648648648,3.4838709677419355,4.483870967741935,3.774193548387097
Munich Airport,MUC,5.304347826086956,3.64,4.386666666666667,3.864864864864865
Leipzig/Halle Airport,LEJ,5.25,5.0,5.0,4.0
Stuttgart Airport,STR,4.2727272727272725,3.8,3.8,3.2
Berlin-Tegel Airport,TXL,3.951219512195122,2.9714285714285715,2.942857142857143,2.1142857142857143
Hannover Airport,HAJ,7.0,4.25,4.5,3.625
Bremen Airport,BRE,4.6,4.0,5.0,3.0
Frankfurt-Hahn Airport,HHN,2.5625,3.0,3.0,1.0
Lübeck Blankensee Airport,LBC,4.5,4.5,4.5,4.5
Paderborn Lippstadt Airport,PAD,3.0,3.0,3.0,3.0
Weeze Airport,NRN,2.333333333333333,3.0,2.6666666666666665,2.0
Dortmund Airport,DTM,6.0,4.0,4.5,3.0
Friedrichshafen Airport,FDH,10.0,5.0,5.0,5.0
Karlsruhe Baden-Baden Airport,FKB,3.5,5.0,5.0,1.0
Westerland Sylt Airport,GWT,3.0,3.0,5.0,3.0
Lennart Meri Tallinn Airport,TLL,6.25,4.5,4.5,4.125
Helsinki Vantaa Airport,HEL,5.358490566037736,3.604651162790698,4.372093023255814,3.5
Rovaniemi Airport,RVN,7.0,5.0,5.0,3.5
Tampere-Pirkkala Airport,TMP,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
Belfast International Airport,BFS,3.325,2.3902439024390243,3.1951219512195124,2.463414634146341
George Best Belfast City Airport,BHD,3.955555555555556,3.3095238095238093,3.761904761904762,2.7857142857142856
City of Derry Airport,LDY,9.333333333333334,5.0,5.0,4.666666666666667
Birmingham International Airport,BHX,4.073394495412844,2.56140350877193,3.5526315789473686,3.0701754385964914
Coventry Airport,CVT,4.5,4.5,4.5,4.5
Manchester Airport,MAN,4.077922077922078,2.376237623762376,3.033003300330033,2.74247491638796
Robin Hood Doncaster Sheffield Airport,DSA,5.214285714285714,4.75,4.25,2.875
