Unnamed: 0,departure_airport_id,destination_airport_id,airline_id,distance
78,DRS,ZRH,3L,556
79,DUS,FDH,3L,448
84,FDH,DUS,3L,448
86,FDH,HAM,3L,663
87,FDH,OLB,3L,753
88,FDH,TXL,3L,606
91,GRZ,ZRH,3L,522
92,HAM,FDH,3L,663
95,OLB,FDH,3L,753
96,SZG,ZRH,3L,335
97,TXL,FDH,3L,606
99,ZRH,DRS,3L,556
101,ZRH,GRZ,3L,522
102,ZRH,SZG,3L,335
119,AGP,STR,4U,1738
120,AGP,TXL,4U,2245
121,AMS,HAM,4U,379
124,ARN,CGN,4U,1188
125,ARN,DUS,4U,1162
126,ARN,HAM,4U,825
127,ATH,CGN,4U,1952
128,ATH,STR,4U,1682
129,BCN,CGN,4U,1132
130,BCN,DUS,4U,1167
131,BCN,HAJ,4U,1367
132,BCN,HAM,4U,1492
133,BCN,STR,4U,994
134,BDS,STR,4U,1127
135,BEG,STR,4U,946
137,BHX,HAM,4U,794
138,BHX,TXL,4U,1015
144,BIO,DUS,4U,1147
145,BIO,STR,4U,1110
146,BLQ,CGN,4U,768
147,BLQ,TXL,4U,904
148,BRE,STR,4U,485
149,BRI,CGN,4U,1309
150,BRI,DUS,4U,1363
151,BRI,STR,4U,1027
152,BRU,STR,4U,419
153,BSL,DUS,4U,415
154,BUD,CGN,4U,959
155,BUD,HAM,4U,949
156,BUD,STR,4U,758
160,CDG,HAM,4U,727
161,CFU,CGN,4U,1597
162,CFU,DRS,4U,1367
163,CFU,STR,4U,1319
164,CGN,ARN,4U,1188
165,CGN,ATH,4U,1952
166,CGN,BCN,4U,1132
168,CGN,BLQ,4U,768
169,CGN,BRI,4U,1309
170,CGN,BUD,4U,959
172,CGN,CFU,4U,1597
174,CGN,CTA,4U,1616
175,CGN,DBV,4U,1251
176,CGN,DRS,4U,464
177,CGN,DUB,4U,956
178,CGN,EDI,4U,895
179,CGN,FAO,4U,1950
180,CGN,FCO,4U,1080
181,CGN,FDH,4U,394
182,CGN,HAM,4U,363
184,CGN,HER,4U,2251
185,CGN,IBZ,4U,1407
187,CGN,JTR,4U,2171
188,CGN,KGS,4U,2224
189,CGN,KLU,4U,705
190,CGN,KVA,4U,1740
191,CGN,LEJ,4U,360
192,CGN,LHR,4U,534
193,CGN,LIS,4U,1850
194,CGN,LPA,4U,3174
195,CGN,MAN,4U,699
197,CGN,NAP,4U,1238
198,CGN,NCE,4U,801
199,CGN,OLB,4U,1123
202,CGN,PRG,4U,510
203,CGN,PSA,4U,835
204,CGN,PUY,4U,833
206,CGN,RJK,4U,835
208,CGN,SJJ,4U,1148
209,CGN,SKG,4U,1677
210,CGN,SPU,4U,1067
211,CGN,STN,4U,492
213,CGN,SZG,4U,544
214,CGN,TXL,4U,463
215,CGN,VCE,4U,709
216,CGN,VIE,4U,745
217,CGN,VRN,4U,668
218,CGN,WAW,4U,965
221,CGN,ZAG,4U,870
222,CGN,ZRH,4U,391
224,CTA,CGN,4U,1616
225,CTA,DUS,4U,1670
226,CTA,HAJ,4U,1718
227,CTA,HAM,4U,1839
228,CTA,STR,4U,1334
229,CTA,TXL,4U,1683
230,CWL,DUS,4U,701
231,DBV,CGN,4U,1251
232,DBV,DUS,4U,1302
233,DBV,HAJ,4U,1273
234,DBV,HAM,4U,1373
235,DBV,STR,4U,978
236,DBV,TXL,4U,1172
237,DRS,CFU,4U,1367
238,DRS,CGN,4U,464
239,DRS,DUS,4U,487
240,DRS,STR,4U,423
242,DTM,MUC,4U,461
244,DTM,SPU,4U,1099
245,DUB,CGN,4U,956
246,DUB,DUS,4U,915
248,DUS,ARN,4U,1162
249,DUS,BCN,4U,1167
251,DUS,BIO,4U,1147
252,DUS,BRI,4U,1363
253,DUS,BSL,4U,415
255,DUS,CTA,4U,1670
256,DUS,CWL,4U,701
257,DUS,DBV,4U,1302
258,DUS,DRS,4U,487
259,DUS,DUB,4U,915
260,DUS,GVA,4U,563
262,DUS,HER,4U,2302
263,DUS,IBZ,4U,1443
264,DUS,KTW,4U,867
265,DUS,LEJ,4U,380
266,DUS,LYS,4U,630
267,DUS,MAD,4U,1441
270,DUS,NQY,4U,829
272,DUS,OLB,4U,1174
274,DUS,POZ,4U,701
275,DUS,PRG,4U,543
276,DUS,PRN,4U,1449
277,DUS,SKG,4U,1726
278,DUS,SPU,4U,1119
280,DUS,TRN,4U,680
281,DUS,VCE,4U,763
282,DUS,WAW,4U,981
283,DUS,WRO,4U,704
285,EDI,CGN,4U,895
286,FAO,CGN,4U,1950
287,FAO,HAM,4U,2306
288,FAO,STR,4U,1901
289,FCO,CGN,4U,1080
290,FCO,HAJ,4U,1200
291,FCO,HAM,4U,1326
292,FCO,STR,4U,801
293,FCO,TXL,4U,1198
294,FDH,CGN,4U,394
295,FKB,HAM,4U,555
299,GVA,DUS,4U,563
300,GVA,HAM,4U,867
301,HAJ,BCN,4U,1367
302,HAJ,CTA,4U,1718
303,HAJ,DBV,4U,1273
304,HAJ,FCO,4U,1200
305,HAJ,HER,4U,2262
307,HAJ,NAP,4U,1333
309,HAJ,PRN,4U,1387
310,HAJ,SKG,4U,1667
311,HAJ,SPU,4U,1106
312,HAJ,STN,4U,647
313,HAJ,STR,4U,420
315,HAJ,VCE,4U,797
316,HAJ,VIE,4U,687
317,HAM,AMS,4U,379
318,HAM,ARN,4U,825
319,HAM,BCN,4U,1492
321,HAM,BHX,4U,794
323,HAM,BUD,4U,949
324,HAM,CDG,4U,727
325,HAM,CGN,4U,363
326,HAM,CTA,4U,1839
327,HAM,DBV,4U,1373
328,HAM,FAO,4U,2306
329,HAM,FCO,4U,1326
330,HAM,FKB,4U,555
332,HAM,GVA,4U,867
333,HAM,HER,4U,2352
334,HAM,KLU,4U,836
335,HAM,LHR,4U,745
336,HAM,MAD,4U,1780
337,HAM,MAN,4U,810
339,HAM,NAP,4U,1453
340,HAM,NCE,4U,1127
342,HAM,OLB,4U,1416
343,HAM,OSL,4U,732
345,HAM,PRG,4U,489
346,HAM,PRN,4U,1474
347,HAM,RJK,4U,991
348,HAM,SKG,4U,1752
349,HAM,SPU,4U,1213
350,HAM,STR,4U,551
351,HAM,TLS,4U,1277
352,HAM,VCE,4U,919
353,HAM,VIE,4U,767
354,HAM,VRN,4U,917
355,HAM,ZRH,4U,693
361,HEL,TXL,4U,1118
362,HER,CGN,4U,2251
363,HER,DUS,4U,2302
364,HER,HAJ,4U,2262
365,HER,HAM,4U,2352
366,HER,STR,4U,1977
367,HER,TXL,4U,2131
368,IBZ,CGN,4U,1407
369,IBZ,DUS,4U,1443
370,IBZ,STR,4U,1258
371,IBZ,TXL,4U,1775
373,JTR,CGN,4U,2171
374,KGS,CGN,4U,2224
375,KLU,CGN,4U,705
376,KLU,HAM,4U,836
377,KLU,TXL,4U,662
378,KRK,STR,4U,779
379,KTW,DUS,4U,867
380,KVA,CGN,4U,1740
381,KVA,STR,4U,1486
382,LEJ,CGN,4U,360
383,LEJ,DUS,4U,380
384,LEJ,STR,4U,372
385,LHR,CGN,4U,534
386,LHR,HAM,4U,745
387,LHR,STR,4U,756
388,LHR,TXL,4U,947
390,LIS,CGN,4U,1850
391,LIS,STR,4U,1833
392,LPA,CGN,4U,3174
393,LYS,DUS,4U,630
394,MAD,DUS,4U,1441
395,MAD,HAM,4U,1780
396,MAN,CGN,4U,699
397,MAN,HAM,4U,810
399,MUC,DTM,4U,461
405,NAP,CGN,4U,1238
406,NAP,HAJ,4U,1333
407,NAP,HAM,4U,1453
408,NAP,STR,4U,954
409,NCE,CGN,4U,801
410,NCE,HAM,4U,1127
411,NCE,TXL,4U,1086
412,NQY,DUS,4U,829
416,OLB,CGN,4U,1123
417,OLB,DUS,4U,1174
418,OLB,HAM,4U,1416
419,OLB,STR,4U,866
420,OSL,HAM,4U,732
429,POZ,DUS,4U,701
430,PRG,CGN,4U,510
431,PRG,DUS,4U,543
432,PRG,HAM,4U,489
433,PRN,DUS,4U,1449
434,PRN,HAJ,4U,1387
435,PRN,HAM,4U,1474
436,PRN,STR,4U,1140
437,PRN,TXL,4U,1251
438,PSA,CGN,4U,835
439,PUY,CGN,4U,833
441,RJK,CGN,4U,835
442,RJK,HAM,4U,991
443,RJK,STR,4U,560
446,SJJ,CGN,4U,1148
447,SJJ,STR,4U,883
448,SJJ,TXL,4U,1040
449,SKG,CGN,4U,1677
450,SKG,DUS,4U,1726
451,SKG,HAJ,4U,1667
452,SKG,HAM,4U,1752
453,SKG,STR,4U,1414
454,SPU,CGN,4U,1067
455,SPU,DTM,4U,1099
456,SPU,DUS,4U,1119
457,SPU,HAJ,4U,1106
458,SPU,HAM,4U,1213
459,SPU,STR,4U,790
460,SPU,TXL,4U,1027
461,STN,CGN,4U,492
462,STN,HAJ,4U,647
463,STN,STR,4U,729
464,STR,AGP,4U,1738
465,STR,ATH,4U,1682
466,STR,BCN,4U,994
467,STR,BDS,4U,1127
468,STR,BEG,4U,946
470,STR,BIO,4U,1110
471,STR,BRE,4U,485
472,STR,BRI,4U,1027
473,STR,BRU,4U,419
474,STR,BUD,4U,758
476,STR,CFU,4U,1319
477,STR,CTA,4U,1334
478,STR,DBV,4U,978
479,STR,DRS,4U,423
480,STR,FAO,4U,1901
481,STR,FCO,4U,801
482,STR,HAJ,4U,420
483,STR,HAM,4U,551
485,STR,HER,4U,1977
486,STR,IBZ,4U,1258
487,STR,KRK,4U,779
488,STR,KVA,4U,1486
489,STR,LEJ,4U,372
490,STR,LHR,4U,756
491,STR,LIS,4U,1833
493,STR,NAP,4U,954
494,STR,OLB,4U,866
496,STR,PRN,4U,1140
497,STR,RJK,4U,560
499,STR,SJJ,4U,883
500,STR,SKG,4U,1414
501,STR,SPU,4U,790
502,STR,STN,4U,729
504,STR,TXL,4U,516
505,STR,VIE,4U,546
507,STR,ZAG,4U,611
512,SZG,CGN,4U,544
513,TLS,HAM,4U,1277
514,TRN,DUS,4U,680
515,TXL,AGP,4U,2245
517,TXL,BHX,4U,1015
519,TXL,BLQ,4U,904
520,TXL,CGN,4U,463
521,TXL,CTA,4U,1683
522,TXL,DBV,4U,1172
523,TXL,FCO,4U,1198
525,TXL,HEL,4U,1118
526,TXL,HER,4U,2131
527,TXL,IBZ,4U,1775
528,TXL,KLU,4U,662
529,TXL,LHR,4U,947
531,TXL,NCE,4U,1086
534,TXL,PRN,4U,1251
535,TXL,SJJ,4U,1040
536,TXL,SPU,4U,1027
537,TXL,STR,4U,516
538,TXL,VIE,4U,546
539,TXL,VRN,4U,815
541,VCE,CGN,4U,709
542,VCE,DUS,4U,763
543,VCE,HAJ,4U,797
544,VCE,HAM,4U,919
545,VIE,CGN,4U,745
546,VIE,HAJ,4U,687
547,VIE,HAM,4U,767
548,VIE,STR,4U,546
549,VIE,TXL,4U,546
550,VRN,CGN,4U,668
551,VRN,HAM,4U,917
552,VRN,TXL,4U,815
553,WAW,CGN,4U,965
554,WAW,DUS,4U,981
555,WRO,DUS,4U,704
561,ZAG,CGN,4U,870
562,ZAG,STR,4U,611
563,ZRH,CGN,4U,391
564,ZRH,HAM,4U,693
689,ARN,KLX,A3,2528
690,ARN,SKG,A3,2156
693,ATH,BCN,A3,1904
694,ATH,BEG,A3,822
695,ATH,BRU,A3,2101
696,ATH,BUD,A3,1122
697,ATH,CDG,A3,2108
698,ATH,CFU,A3,395
699,ATH,CHQ,A3,268
701,ATH,DUS,A3,2003
703,ATH,FCO,A3,1086
704,ATH,FRA,A3,1815
705,ATH,GVA,A3,1731
706,ATH,HER,A3,309
712,ATH,JTR,A3,218
713,ATH,KGS,A3,305
714,ATH,KVA,A3,336
716,ATH,LHR,A3,2426
717,ATH,LYS,A3,1780
718,ATH,MAD,A3,2377
719,ATH,MAN,A3,2636
721,ATH,MRS,A3,1688
722,ATH,MUC,A3,1517
725,ATH,OSL,A3,2635
726,ATH,OTP,A3,759
727,ATH,PRG,A3,1555
729,ATH,SKG,A3,299
731,ATH,SOF,A3,531
732,ATH,TIA,A3,529
733,ATH,TXL,A3,1823
734,ATH,VIE,A3,1278
735,ATH,WAW,A3,1599
738,BCN,ATH,A3,1904
739,BEG,ATH,A3,822
740,BOD,HER,A3,2428
741,BRU,ATH,A3,2101
742,BRU,HER,A3,2395
743,BUD,ATH,A3,1122
744,CDG,ATH,A3,2108
745,CDG,HER,A3,2389
747,CDG,SKG,A3,1859
748,CFU,ATH,A3,395
750,CHQ,ATH,A3,268
751,CHQ,SKG,A3,564
752,CPH,SKG,A3,1840
759,DUS,ATH,A3,2003
760,DUS,HER,A3,2302
761,DUS,KLX,A3,1986
